//------------------------------------------------------------------------------
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02553005;1;01/01/2009;1;47,9;161,3;14;;1;1;1;0;;0;0;12,4;0;0;0;0;0;0;0;0;0;41,1;47,9;33,9;0;0;2,4;14,4;0;0;0;0;0;0;0;0;0;9,2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/02/2009;1;83,4;243,5;7;10;1;1;1;0;;0;0;6,6;12,4;0;0;83,4;0;0;4,2;12,4;24,4;0;0;0;0;0;0;0;43,4;9,9;9,7;0;0;37,1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/03/2009;1;8,9;20,8;24;5;1;1;1;0;;2,4;0;4,2;0;0;0;0;0;2,1;0;0;0;0;0;0;0;0;0;0;0;0;3,2;0;8,9;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/04/2009;1;33,4;113,4;22;5;1;1;1;0;;0;0;0;0;23,4;26,8;0;0;13,4;0;0;0;0;0;0;0;0;0;0;0;0;33,4;16,4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/05/2009;1;124;377,6;25;12;1;1;1;0;;0;0;32,2;0;0;0;0;13,4;23,6;0;0;0;4,2;45,6;33,6;0;0;0;0;0;0;0;0;0;124;13,7;0;4,4;18;40,4;24,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/06/2009;1;46,5;119,8;24;8;1;1;1;0;;0;3,4;0;0;0;6,3;0;0;0;0;8,9;3,4;0;0;0;31,7;0;0;0;0;0;0;3,2;46,5;0;0;0;0;0;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/07/2009;1;72,4;225;17;11;1;1;1;0;;0;17;0;0;6,3;1,1;0;0;12,4;19,9;36,6;0;0;0;0;15,3;72,4;0;0;0;11,4;29,2;0;0;0;0;0;0;3,4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/08/2009;1;48,8;184,5;2;7;1;1;1;0;;25,5;48,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,5;41,1;0;0;0;0;17,6;2,4;13,6;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/09/2009;1;53,7;285,1;3;12;1;1;1;0;;0;0;53,7;39,5;0;0;0;15,4;19,3;17,8;4,4;13;0;0;0;0;3,4;0;46,3;0;0;0;48,5;0;0;0;0;11,4;12,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02553005;1;01/10/2009;1;87,5;436,9;25;13;1;1;1;;;1,5;7,4;17,4;13,4;0;0;16;0;0;0;0;86,9;0;0;78,6;4,2;51;0;12,2;10,4;0;0;50,4;0;87,5;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
